40,0.0175
-0.0000,0.4200,0.0175
0.0700,0.4100,0.0175
0.1300,0.4000,0.0175
0.1900,0.3700,0.0175
0.2500,0.3400,0.0175
0.3000,0.3000,0.0175
0.3400,0.2500,0.0175
0.3700,0.1900,0.0175
0.4000,0.1300,0.0175
0.4100,0.0700,0.0175
0.4200,0.0000,0.0175
0.4100,-0.0700,0.0175
0.4000,-0.1300,0.0175
0.3700,-0.1900,0.0175
0.3400,-0.2500,0.0175
0.3000,-0.3000,0.0175
0.2500,-0.3400,0.0175
0.1900,-0.3700,0.0175
0.1300,-0.4000,0.0175
0.0700,-0.4100,0.0175
0.0000,-0.4200,0.0175
-0.0700,-0.4100,0.0175
-0.1300,-0.4000,0.0175
-0.1900,-0.3700,0.0175
-0.2500,-0.3400,0.0175
-0.3000,-0.3000,0.0175
-0.3400,-0.2500,0.0175
-0.3700,-0.1900,0.0175
-0.4000,-0.1300,0.0175
-0.4100,-0.0700,0.0175
-0.4200,-0.0000,0.0175
-0.4100,0.0700,0.0175
-0.4000,0.1300,0.0175
-0.3700,0.1900,0.0175
-0.3400,0.2500,0.0175
-0.3000,0.3000,0.0175
-0.2500,0.3400,0.0175
-0.1900,0.3700,0.0175
-0.1300,0.4000,0.0175
-0.0700,0.4100,0.0175
