56,0.0175
0.0834,0.3402,0.0700
0.1816,0.2995,0.0700
0.2995,0.1815,0.0700
0.3402,0.0834,0.0700
0.3402,-0.0834,0.0700
0.2995,-0.1816,0.0700
0.1815,-0.2995,0.0700
0.0834,-0.3402,0.0700
-0.0834,-0.3402,0.0700
-0.1815,-0.2995,0.0700
-0.2995,-0.1815,0.0700
-0.3402,-0.0834,0.0700
-0.3402,0.0834,0.0700
-0.2995,0.1816,0.0700
-0.1815,0.2995,0.0700
-0.0834,0.3402,0.0700
0.0000,0.3500,0.0400
0.2475,0.2475,0.0400
0.3500,0.0000,0.0400
0.2475,-0.2475,0.0400
0.0000,-0.3500,0.0400
-0.2475,-0.2475,0.0400
-0.3500,0.0000,0.0400
-0.2475,0.2475,0.0400
0.0000,0.4200,0.0400
0.2970,0.2970,0.0400
0.4200,0.0000,0.0400
0.2970,-0.2970,0.0400
0.0000,-0.4200,0.0400
-0.2970,-0.2970,0.0400
-0.4200,0.0000,0.0400
-0.2970,0.2970,0.0400
0.0000,0.2700,0.0400
0.1909,0.1909,0.0400
0.2700,0.0000,0.0400
0.1909,-0.1909,0.0400
0.0000,-0.2700,0.0400
-0.1909,-0.1909,0.0400
-0.2700,0.0000,0.0400
-0.1909,0.1909,0.0400
0.0000,0.2025,0.0400
0.1432,0.1432,0.0400
0.2025,0.0000,0.0400
0.1432,-0.1432,0.0400
0.0000,-0.2025,0.0400
-0.1432,-0.1432,0.0400
-0.2025,0.0000,0.0400
-0.1432,0.1432,0.0400
0.0000,0.1400,0.0400
0.0990,0.0990,0.0400
0.1400,0.0000,0.0400
0.0990,-0.0990,0.0400
0.0000,-0.1400,0.0400
-0.0990,-0.0990,0.0400
-0.1400,0.0000,0.0400
-0.0990,0.0990,0.0400
